new_filename	original_filename	original_path_in_sattar	confidence_score	word_count	article_date	raw_date_text
المقاومة وأوهام السيادة العربية.docx	Arabs15.docx	folder4/Arabs15.docx	1.0	1242	2009-04-17	17/نيسان/2009
النجاسة الكبرى والنجاسة الصغرى.doc	najasa.doc	folder6/najasa.doc	1.0	593	2012-05-16	16/أيار/2012
النضال القديم والخيانة.doc	treason6.doc	treason6.doc	0.85	388	2012-10-09	9/تشرين أول/2012
النظام الانتخابي النسبي السليم.doc	Elections27.doc	folder5/Elections27.doc	0.85	647	2009-10-28	28/تشرين أول/2009
النظام المصري يغطي فشله باتهام بالقسام.doc	Egypt19.doc	folder7/Egypt19.doc	1.0	652	2015-02-03	3/شباط/2015
النيل همّ عربي ثقيل.doc	nile.doc	folder5/nile.doc	1.0	1389	2010-05-04	4/أيار/2010
الهاشمي والفتنة الطائفية.doc	Iraq18.doc	old flash memory/New folder (7)/Iraq18.doc	0.85	287	2012-04-04	4/نيسان/2012
الهجوم على الإسلام في الضفة الغربية.doc	Palestine123.doc	folder6/Palestine123.doc	1.0	1149	2010-09-05	5/أيلول/2010
الهجوم على حزب التحرير.doc	Tahreer2.doc	folder6/Tahreer2.doc	1.0	441	2011-07-20	20/تموز/2011
الهزيمة تنتظركم في غزة.doc	Israel35.doc	folder6/Israel35.doc	0.85	251	2011-09-28	28/أيلول/2011
الوضع المخجل في الضفة الغربية.doc	Palestine88.doc	folder4/Palestine88.doc	0.85	367	2009-01-04	4/كانون ثاني/2009
اليوم الموعود بين أمريكا وإيران.doc	Iran26.doc	folder6/Iran26.doc	1.0	1542	2012-02-17	17/شباط/2012
امتلاك القنبلة النووية واجب إسلامي.doc	Iran27.doc	folder6/Iran27.doc	1.0	351	2012-06-06	6/حزيران/2012
امرأة فلسطينية بين الشباب والفصائل.doc	Palestine52.doc	old flash memory/New folder (4)/Palestine52.doc	0.85	688	2007-11-17	17/تشرين ثاني/2007
انتخابات جامعات الضفة الغربية.doc	palestine190.doc	palestine190.doc	0.85	290	2012-04-24	24/نيسان/2012
انفجار كويتا مصلحة أمريكية-إسرائيلية.doc	Bayan21.doc	D Docs/Bayan21.doc	0.85	205	2003-07-06	6/تموز/2003
انكماش العرب أمام نجاد.doc	Iran4.doc	folder/Iran4.doc	0.85	523	2005-12-09	9/كانون أول/2005
انهيار النظرية الأمنية الإسرائيلية.doc	Israel38.doc	folder7/Israel38.doc	1.0	1486	2014-08-14	14/آب /2014
انهيار نظام الأبوات الفلسطيني.doc	palestine55.doc	old flash memory/New folder (4)/palestine55.doc	1.0	362	2008-03-23	23/آذار/2008
بدائل السلطة الفلسطينية.doc	authority1.doc	folder1/authority1.doc	1.0	850	2006-03-17	17/آذار/2006
برهان غليون يسيء لقضيته.doc	Syria17.doc	folder6/Syria17.doc	0.85	617	2011-12-03	3/كانون أول/2011
بطيخ جنين والخيانة الوطنية.doc	Palestine154.doc	folder6/Palestine154.doc	1.0	857	2011-06-30	30/حزيران/2011
بعث منظمة التحرير من الأموات.doc	PLO1.doc	folder1/PLO1.doc	1.0	587	2006-03-21	21/آذار/2006
بيان وقعه ثلاثون من شخصيات غزة والضفة.doc	Bayan59.doc	folder/Bayan59.doc	0.8	360	2005-03-07	7/آذار/2005
بيان وُزع في جامعة النجاح ضد عبد الستار.doc	University37.doc	folder6/University37.doc	1.0	547	2011-08-31	31/آب/2011
بيانات الفصائل حول تفاهات الساحة.doc	Palestine167.doc	folder6/Palestine167.doc	0.85	438	2012-01-14	14/كانون ثاني/2012
بين إدارة النجاح والقضاء الفلسطيني.doc	university33.doc	folder6/university33.doc	1.0	731	2011-08-21	21/آب/2011
بين الانضباط والغوغائية.doc	Hamas8.doc	folder1/Hamas8.doc	1.0	664	2006-02-02	2/شباط/ 2006
بين التدين والإيمان وخيانة الإسلام.doc	islam21.doc	folder7/islam21.doc	1.0	1176	2013-06-27	27/حزيران/2013
بين الحرية والابتذال.doc	Freedom2.doc	folder/Freedom2.doc	1.0	765	2006-02-09	9/شباط/2006
بين المخابرات الأردنية والإسرائيلية.doc	Jordan4.doc	folder1/Jordan4.doc	0.85	931	2005-01-16	16/كانون ثاني/2005
تأييد الهيئة الفلسطينية للدفاع عن.doc	Palestine108.doc	folder5/Palestine108.doc	1.0	353	2010-02-25	25/شباط/2010
تجميل صورة ال US AID.doc	Palestine126.doc	folder6/Palestine126.doc	1.0	1034	2010-09-13	13/أيلول/2010
تحرك شباب فلسطين.doc	Palestine188.doc	Palestine188.doc	1.0	380	2013-03-27	27/آذار/2013
تحرير أسرى فلسطين.doc	Prisoners21.doc	old flash memory/New folder (4)/Prisoners21.doc	1.0	1684	2007-07-23	23/تموز/2007
تحرير فلسطين ينتظر المصالحة.doc	Palestine170.doc	folder6/Palestine170.doc	1.0	416	2012-02-28	28/شباط/2012
تحية تعظيم وإكبار لشعبنا العراقي.doc	Bayan44.doc	folder/Bayan44.doc	0.85	214	2004-04-07	7/نيسان/2004
تخريب الأمن الداخلي الفلسطيني.doc	Security15.doc	folder/Security15.doc	1.0	411	2005-06-13	13/حزيران/2005
تخوف القرضاوي من التشيع.doc	Shiites6.doc	old flash memory/New folder (4)/Shiites6.doc	0.85	1276	2008-10-14	14/تشرين أول/2008
تدمير اليمن.doc	Yemen1.doc	old flash memory/New folder (7)/Yemen1.doc	0.85	599	2010-11-11	11/تشرين ثاني/2010
تدمير نابلس.doc	Nablus2.doc	folder/Nablus2.doc	1.0	860	2004-06-06	6/حزيران/2004
ترتيب الأوضاع بعد عرفات.doc	Leadership4.doc	folder/Leadership4.doc	0.85	437	2004-11-05	5/تشرين ثاني/2004
ترقيات رؤساء الجامعات.doc	University50.doc	folder7/University50.doc	1.0	406	2014-02-13	13/شباط/2014
تركيا هي المعتدية.docx	Turkey9.docx	folder6/Turkey9.docx	1.0	570	2012-06-25	25/حزيران/2012
ترويض حماس.doc	hamas31.doc	folder6/hamas31.doc	0.85	257	2012-02-08	8/شباط/2012
تطبيع اتحاد الجامعات المتوسطية.doc	Normal2.doc	folder5/Normal2.doc	1.0	538	2010-02-05	5/شباط/2010
